# query_id num_block_accesses num_unique_blocks latency_us
701 1896 565 307406
702 2037 618 337335
703 2039 611 334638
704 1865 547 304809
705 1694 510 272565
706 1930 581 328281
707 1456 485 237638
708 1516 408 209693
709 1462 522 238728
710 1906 586 297407
711 1454 511 236420
712 1543 503 246292
713 1465 475 221120
714 1588 473 229327
715 1857 582 315409
716 1800 518 294878
717 1806 544 302217
718 1621 509 271065
719 1609 503 271023
720 1569 469 245910
721 1621 534 264425
722 1661 466 250045
723 1552 493 249164
724 1812 524 286872
725 1698 453 241570
726 2085 563 328758
727 1727 544 287834
728 1778 560 273626
729 1570 471 241443
730 1507 469 237447
731 1678 563 280727
732 1758 481 260679
733 1540 496 241950
734 1595 465 244575
735 2328 566 347757
736 1793 549 289455
737 1611 500 267258
738 2369 527 360192
739 2778 718 459228
740 1721 513 267796
741 1591 566 264716
742 1963 581 301167
743 1788 553 299478
744 1533 483 262503
745 1662 453 246476
746 2023 529 292805
747 1525 495 266616
748 1556 492 245599
749 2010 581 331889
750 1994 584 338353
751 1791 609 310345
752 1491 485 225521
753 1935 535 281665
754 1532 563 255507
755 1605 482 248260
756 1633 496 253512
757 1554 569 278961
758 1500 516 242100
759 1572 513 250043
760 1835 545 291016
761 1662 560 282589
762 1775 580 299476
763 1583 531 265393
764 1539 509 252411
765 2057 560 320064
766 1891 523 278418
767 1670 523 250205
768 1517 483 236042
769 1957 570 301526
770 1708 514 270607
771 1732 521 264031
772 1748 469 239974
773 1879 541 288424
774 1843 542 299848
775 1578 475 230751
776 1966 598 326620
777 1727 483 242439
778 1580 463 235248
779 1743 460 251671
780 1574 467 247338
781 1463 518 247334
782 1595 482 243612
783 1900 554 306308
784 1628 542 263064
785 1651 527 258273
786 1630 477 238003
787 2120 582 363225
788 1643 536 275695
789 1923 518 289024
790 1629 512 264546
791 1595 499 233898
792 1667 569 274240
793 1982 568 290190
794 1664 477 246505
795 1841 475 240741
796 1504 549 257025
797 1745 529 260148
798 1630 545 257735
799 2375 577 378431
800 1619 504 253219
801 1600 569 282774
802 1654 538 255346
803 1534 515 238951
804 1501 547 264681
805 1571 531 261152
806 1654 501 260557
807 1595 539 264447
808 1781 572 292612
809 1681 554 299310
810 1685 528 268477
811 2061 535 318555
812 1572 569 272413
813 1789 507 269797
814 1951 518 288193
815 1883 481 271718
816 1606 530 264590
817 1673 548 279923
818 1916 591 304729
819 1583 512 247746
820 1695 536 285184
821 2190 672 376561
822 2392 662 402900
823 1588 496 271068
824 1586 498 264937
825 1839 541 286993
826 1528 548 262473
827 1471 474 227828
828 1908 594 298910
829 1946 525 326518
830 1464 464 238862
831 1823 611 300690
832 1817 588 295144
833 1844 515 283300
834 1425 528 225501
835 1740 515 278349
836 2176 609 327967
837 1835 514 270507
838 1676 506 256443
839 1804 547 280873
840 1845 556 283999
841 1802 556 274935
842 1984 485 265601
843 1708 511 257627
844 1727 563 268250
845 1492 469 211823
846 1614 435 204751
847 1552 507 232334
848 1841 499 260599
849 1712 506 252495
850 1855 423 206794
851 1602 598 281072
852 1866 495 255637
853 1536 551 274174
854 1532 526 243869
855 2001 536 292298
856 1963 501 286277
857 1766 520 262489
858 2060 568 317186
859 2016 609 313880
860 1550 495 245935
861 2111 648 354685
862 1995 594 319645
863 1533 510 228558
864 1588 459 210180
865 2001 547 287595
866 1550 543 262216
867 1584 539 258914
