# query_id num_block_accesses num_unique_blocks latency_us
951 1633 497 5478
952 1821 576 6288
953 1854 556 6194
954 1785 521 5851
955 1868 565 6099
956 1597 453 5263
957 1730 546 11216
958 2304 609 7271
959 1892 593 8427
960 1730 554 6204
961 1630 512 7590
962 1754 574 6053
963 1681 497 5625
964 1482 492 5044
965 1651 502 5206
966 1813 523 5808
967 2263 649 7257
968 1980 533 6230
969 1904 579 6394
970 1861 509 6221
971 2309 569 9614
972 1497 559 5454
973 1495 482 5019
974 1848 605 6081
975 2064 549 6646
976 1490 429 4956
977 1546 517 5160
978 2257 550 6893
979 1850 548 6178
980 1569 486 5319
981 2059 494 6523
982 1522 511 5285
983 1771 456 5452
984 1658 497 5830
985 2025 593 6367
986 1902 576 6416
987 1516 513 5288
988 1781 550 6083
989 1677 548 5990
990 2247 635 7753
991 1761 603 6224
992 1677 569 6090
993 1664 492 6013
994 1648 511 5469
995 1590 546 5474
996 1584 628 5651
997 1781 531 5776
998 1714 493 5597
999 2363 659 7552
